GROUP,CROPS
FARRATGERES,DÀCTIL (DACTYLIS)
FRUITA DOLCA,PRESSEGUERS/NECTARINS
ALTRES PRODUCTES,SAFRÀ
FARRATGERES,VEÇA I ORDI NO SIE
FARRATGERES,VEÇA I ORDI SIE
ALTRES PRODUCTES,ESPECIES AROMATIQUES LLENYOSES
FARRATGERES,TRÈVOL SIE
FARRATGERES,TRÈVOL NO SIE
FRUITA DOLCA,MAGRANER
CEREALS,FAJOL
ALTRES PRODUCTES,SAJOLIDA
FARRATGERES,VEÇA I TRITICALE  NO SIE
FARRATGERES,PÈSOL I CIVADA NO SIE
FARRATGERES,PÈSOL I CIVADA SIE
OLEAGINOSES,GIRA-SOL
ALTRES PRODUCTES,CORIANDRE
ALTRES PRODUCTES,BOIXAC O CALÈNDULA
ALTRES PRODUCTES,MELISSA O TARONGINA
LLEGUMINOSES,GUIXES NO SIE O PEDREROL NO S*
FRUITA DOLCA,NESPRER
FARRATGERES,SULLA NO SIE O ENCLOVA NO SIE
ALTRES PRODUCTES,FARIGOLA O TIMÓ
FARRATGERES,POA
ALTRES PRODUCTES,QUINOA
CITRICS,TARONGER
OLEAGINOSES,SOIA SIE
ALTRES PRODUCTES,LLI
HORTICOLES,BOLETS
ALTRES PRODUCTES,ANET
ALTRES PRODUCTES,FONOLL
ALTRES PRODUCTES,MENTA
ALTRES PRODUCTES,ROMANÍ
ALTRES PRODUCTES,MARDUIX
VINYA,RAÏM DE TAULA
LLEGUMINOSES,FAVERS BORDA SIE O MOREU SIE
ALTRES PRODUCTES,CANYA COMUNA
ALTRES PRODUCTES,CONREU DE FRUITS DEL BOSC
HORTICOLES,CRÈIXENS
ALTRES PRODUCTES,CASTANYERS
ARROS,ARRÒS
FARRATGERES,AGROSTIS
PROTEAGINOSES,TRAMUSSOS DOLÇOS SIE
ALTRES PRODUCTES,ORENGA
GUARET,GUARET SIE AMB ESPÈCIES MEL?L
FRUITA DOLCA,GERDS
OLEAGINOSES,SOIA NO SIE
PROTEAGINOSES,TRAMUSSOS DOLÇOS NO SIE
FARRATGERES,SULLA SIE O ENCLOVA SIE
FRUITA DOLCA,NABIUS
FARRATGERES,CLOSA ANY 1
FARRATGERES,CUA DE RATA (PHLEUM)
CEREALS,ESCAIOLA
ALTRES PRODUCTES,PERICÓ O HERBA DE SANT JOAN
FARRATGERES,PÈSOL I ORDI NO SIE
LLEGUMINOSES,GARLANDA NO SIE
HORTICOLES,BORRATJA
LLEGUMINOSES,GUIXÓ NO SIE O PÈSOL QUADRAT
FRUITA DOLCA,NASHI
ALTRES PRODUCTES,CAMAMILLA
FRUITA DOLCA,GROSELLA
LLEGUMINOSES,GUIXES SIE O PEDREROL SIE
CEREALS,TRITORDEUM
CITRICS,POMELO O ARANJA
CITRICS,MANDARINER HÍBRID
LLEGUMINOSES,'ALGARROBA' HERBÀCIA SIE
CITRICS,SATSUMA
ALTRES PRODUCTES,TABAC
ALTRES PRODUCTES,HISOP
ALTRES PRODUCTES,CACAUET SIE
