ID_CROPS_FR,ID_GROUP_FR,ID_GROUP_ICC,similarity
SE7,16,9.0,100.0
SE8,16,9.0,100.0
SED,16,9.0,100.0
SER,16,9.0,100.0
TR5,16,9.0,100.0
TR6,16,9.0,100.0
TR7,16,9.0,100.0
TR8,16,9.0,100.0
TRD,16,9.0,100.0
TRE,16,9.0,100.0
VE5,16,9.0,100.0
VE6,16,9.0,100.0
VE7,16,9.0,100.0
VE8,16,9.0,100.0
VED,16,9.0,100.0
VES,16,9.0,100.0
XFE,16,9.0,100.0
BOP,17,,
SPH,17,,
SPL,17,,
PPH,18,,
PRL,18,,
PTR,19,9.0,100.0
RGA,19,,
AGR,20,,
ANA,20,3.0,100.0
AVO,20,,
BCA,20,,
BCF,20,,
BCI,20,,
BCP,20,,
BCR,20,,
BEA,20,,
BEF,20,,
BEI,20,,
BEP,20,,
BER,20,,
CAC,20,6.0,100.0
CBT,20,,
PFR,20,,
PRU,20,,
PVT,20,,
PWT,20,,
VGD,20,,
VRG,20,,
RVI,21,,
VRC,21,,
VRN,21,,
VRT,21,,
CAB,22,3.0,100.0
CTG,22,3.0,100.0
NOS,22,3.0,100.0
NOX,22,3.0,100.0
PIS,22,3.0,100.0
OLI,23,,
ANE,24,,
ANG,24,,
ANI,24,6.0,100.0
BAR,24,,
BAS,24,9.0,100.0
BRH,24,,
BTN,24,,
CAV,24,,
CHR,24,,
CIB,24,,
CML,24,,
CMM,24,,
CRD,24,,
CRF,24,,
CUM,24,,
CUR,24,,
EST,24,,
FNO,24,6.0,100.0
FNU,24,,
HBL,24,6.0,100.0
LAV,24,,
MAV,24,,
MLI,24,,
MLP,24,,
MOT,24,4.0,100.0
MRJ,24,,
MTH,24,9.0,100.0
ORT,24,,
OSE,24,,
PAR,24,6.0,100.0
PMD,24,,
PPA,24,,
PPF,24,,
PPP,24,,
PSL,24,,
PSN,24,,
PSY,24,,
ROM,24,,
SGE,24,,
SRI,24,,
TAB,24,9.0,100.0
THY,24,,
TOT,24,,
VAL,24,,
VNB,24,6.0,100.0
VNL,24,6.0,100.0
VNV,24,6.0,100.0
YLA,24,,
AIL,25,,
ART,25,,
AUB,25,,
BLT,25,,
BUR,25,,
CAR,25,,
CCN,25,,
CCT,25,,
CEL,25,,
CES,25,2.0,100.0
CHU,25,2.0,100.0
CMB,25,,
CRA,25,,
CRN,25,,
CRS,25,,
CSS,25,,
DOL,25,,
EPI,25,,
FLA,25,,
FLP,25,,
FRA,25,,
GER,25,,
HAR,25,,
HPC,25,,
HSA,25,,
LBF,25,2.0,100.0
LSA,25,,
MAC,25,,
MLO,25,,
MRG,25,,
NVT,25,,
OIG,25,,
PAN,25,,
PAQ,25,,
PAS,25,,
PMV,25,,
POR,25,,
POT,25,,
PPO,25,7.0,100.0
PSE,25,,
PTC,25,,
PTF,25,,
PVP,25,,
RDI,25,,
ROQ,25,,
RUT,25,,
SFI,25,,
TOM,25,,
TOP,25,,
VER,25,,
CSA,26,8.0,100.0
CSF,26,8.0,100.0
CSI,26,8.0,100.0
CSP,26,8.0,100.0
CSR,26,8.0,100.0
ACA,28,,
BFP,28,,
BFS,28,,
BOR,28,,
BRO,28,,
BTA,28,,
CAE,28,,
CEE,28,,
CNE,28,,
CID,28,,
CIT,28,,
CUA,28,,
MCT,28,,
MPA,28,,
MRS,28,,
NYG,28,,
PCL,28,,
PEP,28,,
ROS,28,,
SBO,28,,
SNA,28,,
SNE,28,,
TBT,28,,
TCR,28,,
TRU,28,,
VET,28,,
ZZZ,28,,
MLS,8,1.0,100.0
