CROPS_WL,ID_CROPS_WL,GROUP_WL,ID_GROUP_WL,GROUP_WL_filtered,CROPS_WL_filtered,match,max_match,ID_GROUP_ICC,sim
Laitues pommées (consommation au frais),9518,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Laitues pommées,[],[],,
Laitues pommées (transformation industrielle),8518,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Laitues pommées,[],[],,
Légume légumineuse,966,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Légume légumineuse,[],[],,
Navets fourragers,746,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Navets fourragers,[],[],,
Oignons (hâtifs) (transformation industrielle),8563,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Oignons,"[['CROPS_WL', 8563, 'Oignons', 'Oignons et échalotes', 2, 100.0]]","['CROPS_WL', 8563, 'Oignons', 'Oignons et échalotes', 2, 100.0]",2.0,100.0
Oignons (non hâtifs) ( transformation industrielle),8514,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Oignons,"[['CROPS_WL', 8514, 'Oignons', 'Oignons et échalotes', 2, 100.0]]","['CROPS_WL', 8514, 'Oignons', 'Oignons et échalotes', 2, 100.0]",2.0,100.0
Oignons (hâtifs) (consommation au frais),9563,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Oignons,"[['CROPS_WL', 9563, 'Oignons', 'Oignons et échalotes', 2, 100.0]]","['CROPS_WL', 9563, 'Oignons', 'Oignons et échalotes', 2, 100.0]",2.0,100.0
Oignons (non hâtifs) (consommation au frais),9514,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Oignons,"[['CROPS_WL', 9514, 'Oignons', 'Oignons et échalotes', 2, 100.0]]","['CROPS_WL', 9514, 'Oignons', 'Oignons et échalotes', 2, 100.0]",2.0,100.0
Pépinières de plants forestiers,9560,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Pépinières de plants forestiers,[],[],,
Pépinières de plants fruitiers ou de plantes ornementales,9520,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Pépinières de plants fruitiers de plantes ornementales,[],[],,
Persil ( consommation au frais),959,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Persil,[],[],,
Persil (transformation industrielle),859,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Persil,[],[],,
Plantes aromatiques,953,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Plantes aromatiques,[],[],,
Plantes vivaces ornementales de plein air,9584,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Plantes vivaces ornementales de plein air,[],[],,
Poireau (consommation au frais),9538,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Poireau,"[['CROPS_WL', 9538, 'Poireau', 'Poireaux légumes alliacés', 2, 93.0]]","['CROPS_WL', 9538, 'Poireau', 'Poireaux légumes alliacés', 2, 93.0]",2.0,93.0
Poireau (transformation industrielle),8538,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Poireau,"[['CROPS_WL', 8538, 'Poireau', 'Poireaux légumes alliacés', 2, 93.0]]","['CROPS_WL', 8538, 'Poireau', 'Poireaux légumes alliacés', 2, 93.0]",2.0,93.0
"Pois récoltés à l’état frais, pois de conserverie",931,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Pois récoltés à létat frais pois de conserverie,[],[],,
Pois (autres que récoltés secs) (transformation industrielle),831,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Pois,"[['CROPS_WL', 831, 'Pois', 'Pois chiches', 7, 100.0], ['CROPS_WL', 831, 'Pois', 'Pois', 7, 100.0]]","['CROPS_WL', 831, 'Pois', 'Pois chiches', 7, 100.0]",7.0,100.0
Rhubarbe ( consommation au frais),9517,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Rhubarbe,[],[],,
Rhubarbe ( transformation industrielle),8517,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Rhubarbe,[],[],,
Scaroles (transformation industrielle),8537,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Scaroles,[],[],,
Scaroles (consommation au frais),9537,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Scaroles,[],[],,
Scorsonère (transformation industrielle),8533,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Scorsonère,[],[],,
Tomates (consommation au frais),9552,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Tomates,"[['CROPS_WL', 9552, 'Tomates', 'Tomates', 2, 100.0]]","['CROPS_WL', 9552, 'Tomates', 'Tomates', 2, 100.0]",2.0,100.0
Tomates ( transformation industrielle),8552,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Tomates,"[['CROPS_WL', 8552, 'Tomates', 'Tomates', 2, 100.0]]","['CROPS_WL', 8552, 'Tomates', 'Tomates', 2, 100.0]",2.0,100.0
Cultures maraîchères sous serres ou sous protection fixe,952,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Cultures maraîchères sous serres sous protection fixe,[],[],,
Vignes,9716,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Vignes,[],[],,
Noisetier,9201,FRUITS A COQUES,FRUITS A COQUES,FRUITS A COQUES,Noisetier,[],[],,
Noyer,9202,FRUITS A COQUES,FRUITS A COQUES,FRUITS A COQUES,Noyer,[],[],,
Colza d’hiver,4111,OLEAGINEUX,OLEAGINEUX,OLEAGINEUX,Colza dhiver,[],[],,
Navette d’hiver (graines),4112,OLEAGINEUX,OLEAGINEUX,OLEAGINEUX,Navette dhiver,[],[],,
Colza de printemps,4121,OLEAGINEUX,OLEAGINEUX,OLEAGINEUX,Colza de printemps,[],[],,
Navette de printemps (graines),4122,OLEAGINEUX,OLEAGINEUX,OLEAGINEUX,Navette de printemps,[],[],,
Lin oléagineux,45,OLEAGINEUX,OLEAGINEUX,OLEAGINEUX,Lin oléagineux,[],[],,
Soja,43,OLEAGINEUX,OLEAGINEUX,OLEAGINEUX,Soja,[],[],,
Tournesol,42,OLEAGINEUX,OLEAGINEUX,OLEAGINEUX,Tournesol,"[['CROPS_WL', 42, 'Tournesol', 'Tournesol', 4, 100.0]]","['CROPS_WL', 42, 'Tournesol', 'Tournesol', 4, 100.0]",4.0,100.0
Autres oléagineux*,46,OLEAGINEUX,OLEAGINEUX,OLEAGINEUX,oléagineux,"[['CROPS_WL', 46, 'oléagineux', 'Fruits oléagineux', 4, 100.0], ['CROPS_WL', 46, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['CROPS_WL', 46, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['CROPS_WL', 46, 'oléagineux', 'Oléagineux permanent', 4, 90.0], ['CROPS_WL', 46, 'oléagineux', 'fruits oléagineux', 4, 100.0]]","['CROPS_WL', 46, 'oléagineux', 'Fruits oléagineux', 4, 100.0]",4.0,100.0
Chanvre textile (culture soumise à autorisation préalable au semis),922,PLANTES A FIBRES,PLANTES A FIBRES,PLANTES A FIBRES,Chanvre textile,[],[],,
Chanvre non textile (culture soumise à autorisation préalable au semis),872,PLANTES A FIBRES,PLANTES A FIBRES,PLANTES A FIBRES,Chanvre non textile,[],[],,
Lin textile,921,PLANTES A FIBRES,PLANTES A FIBRES,PLANTES A FIBRES,Lin textile,[],[],,
Pomme de terre (plants),902,POMMES DE TERRE,POMMES DE TERRE,POMMES DE TERRE,Pomme de terre,"[['CROPS_WL', 902, 'Pomme de terre', 'Pommes de terre', 5, 97.0]]","['CROPS_WL', 902, 'Pomme de terre', 'Pommes de terre', 5, 97.0]",5.0,97.0
Pomme de terre (non hâtives),901,POMMES DE TERRE,POMMES DE TERRE,POMMES DE TERRE,Pomme de terre,"[['CROPS_WL', 901, 'Pomme de terre', 'Pommes de terre', 5, 97.0]]","['CROPS_WL', 901, 'Pomme de terre', 'Pommes de terre', 5, 97.0]",5.0,97.0
Pomme de terre féculière,903,POMMES DE TERRE,POMMES DE TERRE,POMMES DE TERRE,Pomme de terre féculière,[],[],,
Pomme de terre hâtives,904,POMMES DE TERRE,POMMES DE TERRE,POMMES DE TERRE,Pomme de terre hâtives,[],[],,
"Pomme de terre (primeur, arrachage avant le 20 juin)",905,POMMES DE TERRE,POMMES DE TERRE,POMMES DE TERRE,Pomme de terre,"[['CROPS_WL', 905, 'Pomme de terre', 'Pommes de terre', 5, 97.0]]","['CROPS_WL', 905, 'Pomme de terre', 'Pommes de terre', 5, 97.0]",5.0,97.0
Betterave fourragère,71,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Betterave fourragère,[],[],,
Luzerne,73,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Luzerne,[],[],,
"Prairie permanente (taux de couverture > 90%), hors rotation depuis 5 ans****",610,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Prairie permanente hors rotation depuis 5 ans,[],[],,
"Prairie permanente (taux de couverture > 90%),avec contrat d’aide complémentaire
environnemental, hors rotation depuis 5 ans****",618,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,"Prairie permanente avec contrat daide complémentaire
environnemental hors rotation depuis 5 ans",[],[],,
"Prairie permanente (50%<taux de couverture <= 90%), hors rotation depuis 5 ans****",670,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Prairie permanente hors rotation depuis 5 ans,[],[],,
"Prairie permanente (50%<taux de couverture <= 90%), avec contrat d’aide
complémentaire environnemental, hors rotation depuis 5 ans****",678,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,"Prairie permanente avec contrat daide
complémentaire environnemental hors rotation depuis 5 ans",[],[],,
"Autres surfaces pâturées (taux de couverture <= 50%), hors rotation depuis 5 ans****",600,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,surfaces pâturées hors rotation depuis 5 ans,[],[],,
"Autres surfaces pâturées (taux de couverture <= 50%), avec contrat d’aide
complémentaire environnemental, hors rotation depuis 5 ans****",608,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,"surfaces pâturées avec contrat daide
complémentaire environnemental hors rotation depuis 5 ans",[],[],,
Prairie temporaire,62,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Prairie temporaire,[],[],,
Prairie à vocation à devenir permanente pour les parcelles en MAEC et N2000,623,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Prairie à vocation à devenir permanente pour les parcelles en MAEC N2000,[],[],,
Trèfles,72,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Trèfles,[],[],,
Carotte,7433,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Carotte,"[['CROPS_WL', 7433, 'Carotte', 'Carottes', 2, 93.0]]","['CROPS_WL', 7433, 'Carotte', 'Carottes', 2, 93.0]",2.0,93.0
Carottes fourragères,742,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Carottes fourragères,[],[],,
Autres fourrages*,743,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,fourrages,[],[],,
Fèves et Féveroles d’hiver,521,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Fèves Féveroles dhiver,[],[],,
Fèves et Féveroles de printemps,522,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Fèves Féveroles de printemps,[],[],,
Lotier corniculé (Lotus corniculatis),57,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Lotier corniculé,[],[],,
Lupin doux,53,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Lupin doux,[],[],,
Luzerne lupuline,56,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Luzerne lupuline,[],[],,
Mélange protéagineux d'hiver + céréales ou autres espèces,541,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Mélange protéagineux dhiver céréales espèces,[],[],,
Mélange protéagineux de printemps + céréales ou autres espèces,542,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Mélange protéagineux de printemps céréales espèces,[],[],,
Mélange légumineuses fourragères + graminées prairiales,543,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Mélange légumineuses fourragères graminées prairiales,[],[],,
Pois protéagineux d’hiver,511,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Pois protéagineux dhiver,[],[],,
Pois protéagineux de printemps,512,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Pois protéagineux de printemps,[],[],,
Sainfoin ( Onobrychis sativa),58,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,Sainfoin,[],[],,
Autres protéagineux*,55,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,protéagineux,[],[],,
Angél i que,881,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Angél i que,[],[],,
