,Grup,Cultiu,CROPS_CAT_fr
1387,PROTEAGINOSES,FAVES I FAVONS SIE,"Translated(src=en, dest=fr, text=Les favoris je favorise sie, pronunciation=None, extra_data=""{'confiden..."")"
1432,LLEGUMINOSES,MONGETA SIE,"Translated(src=de, dest=fr, text=Mongeta toi, pronunciation=None, extra_data=""{'confiden..."")"
1442,ALTRES PRODUCTES,ESPECIES AROMÀTIQUES HERBÀCI,"Translated(src=ca, dest=fr, text=Espèces aromatiques herbacées, pronunciation=None, extra_data=""{'confiden..."")"
1450,HORTICOLES,CARXOFA,"Translated(src=ca, dest=fr, text=ARTICHAUT, pronunciation=None, extra_data=""{'confiden..."")"
1451,HORTICOLES,PASTANAGA,"Translated(src=ca, dest=fr, text=Carotte, pronunciation=None, extra_data=""{'confiden..."")"
1456,HORTICOLES,MADUIXA,"Translated(src=ca, dest=fr, text=Fraise, pronunciation=None, extra_data=""{'confiden..."")"
1467,HORTICOLES,ESPARRECS,"Translated(src=eu, dest=fr, text=Des sports, pronunciation=None, extra_data=""{'confiden..."")"
1475,ALTRES PRODUCTES,CÀNEM,"Translated(src=ca, dest=fr, text=Haute, pronunciation=None, extra_data=""{'confiden..."")"
1481,HORTICOLES,PEBROT,"Translated(src=ca, dest=fr, text=Poivre, pronunciation=None, extra_data=""{'confiden..."")"
1487,CITRICS,CLEMENTINA,"Translated(src=it, dest=fr, text=Clementina, pronunciation=None, extra_data=""{'confiden..."")"
1497,FRUITA DOLCA,FRUITERS VARIS,"Translated(src=ca, dest=fr, text=Divers arbres fruitiers, pronunciation=None, extra_data=""{'confiden..."")"
1523,FRUITS DE CLOSCA,NOGUERES,"Translated(src=ca, dest=fr, text=Noyer, pronunciation=None, extra_data=""{'confiden..."")"
1524,FRUITA DOLCA,ALTRES FRUITERS,"Translated(src=ca, dest=fr, text=Autres arbres fruitiers, pronunciation=None, extra_data=""{'confiden..."")"
1888,CEREALS,ESPELTA,"Translated(src=ca, dest=fr, text=Orthographié, pronunciation=None, extra_data=""{'confiden..."")"
2364,CEREALS,SÈGOL,"Translated(src=ca, dest=fr, text=Seigle, pronunciation=None, extra_data=""{'confiden..."")"
2571,LLEGUMINOSES,LLENTIES SIE,"Translated(src=es, dest=fr, text=Lleenties sie, pronunciation=None, extra_data=""{'confiden..."")"
2588,LLEGUMINOSES,ERBS (LLEGUM) SIE,"Translated(src=de, dest=fr, text=Erbs (légum) vous, pronunciation=None, extra_data=""{'confiden..."")"
2614,FARRATGERES,FENIGREC SIE,"Translated(src=de, dest=fr, text=Fenugec vous, pronunciation=None, extra_data=""{'confiden..."")"
2666,FARRATGERES,TREPADELLA NO SIE,"Translated(src=it, dest=fr, text=Trepadella no sie, pronunciation=None, extra_data=""{'confiden..."")"
2711,ALTRES PRODUCTES,REMOLATXA,"Translated(src=ca, dest=fr, text=Betterave, pronunciation=None, extra_data=""{'confiden..."")"
2735,HORTICOLES,API,"Translated(src=en, dest=fr, text=API, pronunciation=None, extra_data=""{'confiden..."")"
2740,HORTICOLES,ALBERGÍNIA,"Translated(src=ca, dest=fr, text=AUBERGINE, pronunciation=None, extra_data=""{'confiden..."")"
2761,HORTICOLES,NAP I COL XINESA,"Translated(src=ca, dest=fr, text=Sieste et chou chinois, pronunciation=None, extra_data=""{'confiden..."")"
2768,HORTICOLES,ESPINAC,"Translated(src=ca, dest=fr, text=Épinard, pronunciation=None, extra_data=""{'confiden..."")"
2772,HORTICOLES,RAVE,"Translated(src=en, dest=fr, text=DÉLIRER, pronunciation=None, extra_data=""{'confiden..."")"
2785,ALTRES PRODUCTES,ALFÀBREGA,"Translated(src=ca, dest=fr, text=BASILIC, pronunciation=None, extra_data=""{'confiden..."")"
2855,FRUITA DOLCA,KIWI,"Translated(src=en, dest=fr, text=KIWI, pronunciation=None, extra_data=""{'confiden..."")"
3221,CEREALS,TRITICALE,"Translated(src=pt, dest=fr, text=Triticale, pronunciation=None, extra_data=""{'confiden..."")"
3484,FARRATGERES,VECES NO SIE,"Translated(src=es, dest=fr, text=Je ne me sens pas comme des temps, pronunciation=None, extra_data=""{'confiden..."")"
4137,ALTRES PRODUCTES,LLÚPOL,"Translated(src=ca, dest=fr, text=Houblon, pronunciation=None, extra_data=""{'confiden..."")"
4159,ALTRES PRODUCTES,TÒFONA,"Translated(src=ca, dest=fr, text=Truffe, pronunciation=None, extra_data=""{'confiden..."")"
5276,ALTRES PRODUCTES,LAVANDA O ESPÍGOL,"Translated(src=es, dest=fr, text=Lavande ou enveloppe, pronunciation=None, extra_data=""{'confiden..."")"
5278,LLEGUMINOSES,CIGRONS NO SIE,"Translated(src=ca, dest=fr, text=Pois chiches sans sie, pronunciation=None, extra_data=""{'confiden..."")"
5281,FARRATGERES,FENIGREC NO SIE,"Translated(src=de, dest=fr, text=Fenuggrec non toi, pronunciation=None, extra_data=""{'confiden..."")"
5283,LLEGUMINOSES,FAVERA BORDA NO SIE O MOREU N*,"Translated(src=pt, dest=fr, text=FAVERA Border en sie o Moreu n *, pronunciation=None, extra_data=""{'confiden..."")"
5363,HORTICOLES,"ENDÍVIA, ESCAROLA I XICOIRA","Translated(src=ca, dest=fr, text=Endive, escarole et chicorée, pronunciation=None, extra_data=""{'confiden..."")"
5367,CITRICS,LLIMONER,"Translated(src=ca, dest=fr, text=CITRONNIER, pronunciation=None, extra_data=""{'confiden..."")"
5368,FRUITA DOLCA,CAQUI,"Translated(src=pt, dest=fr, text=KAKI, pronunciation=None, extra_data=""{'confiden..."")"
6344,ALTRES PRODUCTES,FLORS I ORNAMENTALS,"Translated(src=ca, dest=fr, text=Fleurs et ornemental, pronunciation=None, extra_data=""{'confiden..."")"
6381,FARRATGERES,PÈSOL I ORDI SIE,"Translated(src=ca, dest=fr, text=PEA et BARLEY SIE, pronunciation=None, extra_data=""{'confiden..."")"
6840,FARRATGERES,VEÇA I BLAT SIE,"Translated(src=ca, dest=fr, text=Veca et blé Sie, pronunciation=None, extra_data=""{'confiden..."")"
6852,FARRATGERES,VEÇA I BLAT NO SIE,"Translated(src=ca, dest=fr, text=Veca et blé non sie, pronunciation=None, extra_data=""{'confiden..."")"
7685,FRUITA DOLCA,PRUNERES,"Translated(src=ca, dest=fr, text=Plueres, pronunciation=None, extra_data=""{'confiden..."")"
8919,LLEGUMINOSES,ERBS (LLEGUM) NO SIE,"Translated(src=de, dest=fr, text=Erbs (légum) non vous, pronunciation=None, extra_data=""{'confiden..."")"
9468,ALTRES PRODUCTES,VIVER ARBRE I ARBUST,"Translated(src=ca, dest=fr, text=Pépinière d'arbres et arbuste, pronunciation=None, extra_data=""{'confiden..."")"
10631,ALTRES PRODUCTES,JULIVERT,"Translated(src=ca, dest=fr, text=Persil, pronunciation=None, extra_data=""{'confiden..."")"
11001,CEREALS,MESTALL,"Translated(src=ca, dest=fr, text=Méstal, pronunciation=None, extra_data=""{'confiden..."")"
11061,FRUITA DOLCA,NECTARINS,"Translated(src=en, dest=fr, text=Nectarines, pronunciation=None, extra_data=""{'confiden..."")"
11402,LLEGUMINOSES,CIGRONS SIE,"Translated(src=ca, dest=fr, text=Pois chiche sie, pronunciation=None, extra_data=""{'confiden..."")"
13370,CEREALS,BLAT DUR,"Translated(src=ca, dest=fr, text=Blé dur, pronunciation=None, extra_data=""{'confiden..."")"
14368,FRUITS DE CLOSCA,GARROFER,"Translated(src=ca, dest=fr, text=Caroubier, pronunciation=None, extra_data=""{'confiden..."")"
14388,FRUITA DOLCA,CODONY,"Translated(src=en, dest=fr, text=Codonie, pronunciation=None, extra_data=""{'confiden..."")"
14933,LLEGUMINOSES,LLENTIES NO SIE,"Translated(src=ca, dest=fr, text=Lentilles non sie, pronunciation=None, extra_data=""{'confiden..."")"
16312,FRUITS DE CLOSCA,PISTATXER O FESTUC,"Translated(src=ca, dest=fr, text=Pistache ou pistache, pronunciation=None, extra_data=""{'confiden..."")"
16393,CEREALS,BLAT KHORASAN,"Translated(src=gu, dest=fr, text=Balat Khorasan, pronunciation=None, extra_data=""{'confiden..."")"
17336,FARRATGERES,DÀCTIL (DACTYLIS),"Translated(src=la, dest=fr, text=Dàctil (dactylis), pronunciation=None, extra_data=""{'confiden..."")"
17792,FRUITA DOLCA,PRESSEGUERS/NECTARINS,"Translated(src=ca, dest=fr, text=PressGuers / Nectarins, pronunciation=None, extra_data=""{'confiden..."")"
18518,ALTRES PRODUCTES,SAFRÀ,"Translated(src=ca, dest=fr, text=Safran, pronunciation=None, extra_data=""{'confiden..."")"
19913,FARRATGERES,VEÇA I ORDI NO SIE,"Translated(src=ca, dest=fr, text=Veca et orge non sie, pronunciation=None, extra_data=""{'confiden..."")"
21986,FARRATGERES,VEÇA I ORDI SIE,"Translated(src=ca, dest=fr, text=Veça et orge Sie, pronunciation=None, extra_data=""{'confiden..."")"
22308,ALTRES PRODUCTES,ESPECIES AROMATIQUES LLENYOSES,"Translated(src=ca, dest=fr, text=Espèces aromatives ligneuses, pronunciation=None, extra_data=""{'confiden..."")"
23664,FARRATGERES,TRÈVOL SIE,"Translated(src=es, dest=fr, text=TRÈVOL SIE, pronunciation=None, extra_data=""{'confiden..."")"
23763,FARRATGERES,TRÈVOL NO SIE,"Translated(src=es, dest=fr, text=TRÈVOL n'est pas, pronunciation=None, extra_data=""{'confiden..."")"
25254,FRUITA DOLCA,MAGRANER,"Translated(src=ca, dest=fr, text=Grenade, pronunciation=None, extra_data=""{'confiden..."")"
27773,CEREALS,FAJOL,"Translated(src=ca, dest=fr, text=Étagère, pronunciation=None, extra_data=""{'confiden..."")"
28075,ALTRES PRODUCTES,SAJOLIDA,"Translated(src=ca, dest=fr, text=Sajolide, pronunciation=None, extra_data=""{'confiden..."")"
28111,FARRATGERES,VEÇA I TRITICALE  NO SIE,"Translated(src=ca, dest=fr, text=Veça et triticale no sie, pronunciation=None, extra_data=""{'confiden..."")"
28116,FARRATGERES,PÈSOL I CIVADA NO SIE,"Translated(src=ca, dest=fr, text=Pois et avoine non sie, pronunciation=None, extra_data=""{'confiden..."")"
28225,FARRATGERES,PÈSOL I CIVADA SIE,"Translated(src=ca, dest=fr, text=Pois et avoine Sie, pronunciation=None, extra_data=""{'confiden..."")"
30495,OLEAGINOSES,GIRA-SOL,"Translated(src=es, dest=fr, text=TOURNESOL, pronunciation=None, extra_data=""{'confiden..."")"
32211,ALTRES PRODUCTES,CORIANDRE,"Translated(src=fr, dest=fr, text=CORIANDRE, pronunciation=None, extra_data=""{'confiden..."")"
33835,ALTRES PRODUCTES,BOIXAC O CALÈNDULA,"Translated(src=ca, dest=fr, text=Buis ou calendula, pronunciation=None, extra_data=""{'confiden..."")"
41331,ALTRES PRODUCTES,MELISSA O TARONGINA,"Translated(src=es, dest=fr, text=Melissa ou Tarongina, pronunciation=None, extra_data=""{'confiden..."")"
43857,LLEGUMINOSES,GUIXES NO SIE O PEDREROL NO S*,"Translated(src=ca, dest=fr, text=PLOUTER NON SIE OU QUARROL N'EST PAS S *, pronunciation=None, extra_data=""{'confiden..."")"
45903,FRUITA DOLCA,NESPRER,"Translated(src=ca, dest=fr, text=Nesprer, pronunciation=None, extra_data=""{'confiden..."")"
46517,FARRATGERES,SULLA NO SIE O ENCLOVA NO SIE,"Translated(src=it, dest=fr, text=Sur le non sie ou enclova no sie, pronunciation=None, extra_data=""{'confiden..."")"
47630,ALTRES PRODUCTES,FARIGOLA O TIMÓ,"Translated(src=ca, dest=fr, text=Thym ou gouvernail, pronunciation=None, extra_data=""{'confiden..."")"
48540,FARRATGERES,POA,"Translated(src=en, dest=fr, text=Poa, pronunciation=None, extra_data=""{'confiden..."")"
52195,ALTRES PRODUCTES,QUINOA,"Translated(src=en, dest=fr, text=QUINOA, pronunciation=None, extra_data=""{'confiden..."")"
62046,CITRICS,TARONGER,"Translated(src=ca, dest=fr, text=Orange, pronunciation=None, extra_data=""{'confiden..."")"
73338,OLEAGINOSES,SOIA SIE,"Translated(src=de, dest=fr, text=Soia vous, pronunciation=None, extra_data=""{'confiden..."")"
74081,ALTRES PRODUCTES,LLI,"Translated(src=en, dest=fr, text=Lli, pronunciation=None, extra_data=""{'confiden..."")"
76395,HORTICOLES,BOLETS,"Translated(src=ca, dest=fr, text=CHAMPIGNONS, pronunciation=None, extra_data=""{'confiden..."")"
77765,ALTRES PRODUCTES,ANET,"Translated(src=sq, dest=fr, text=côtés, pronunciation=None, extra_data=""{'confiden..."")"
77768,ALTRES PRODUCTES,FONOLL,"Translated(src=ca, dest=fr, text=Fenouil, pronunciation=None, extra_data=""{'confiden..."")"
77773,ALTRES PRODUCTES,MENTA,"Translated(src=su, dest=fr, text=demande, pronunciation=None, extra_data=""{'confiden..."")"
77776,ALTRES PRODUCTES,ROMANÍ,"Translated(src=es, dest=fr, text=Romain, pronunciation=None, extra_data=""{'confiden..."")"
78401,ALTRES PRODUCTES,MARDUIX,"Translated(src=ca, dest=fr, text=Mardry, pronunciation=None, extra_data=""{'confiden..."")"
89246,VINYA,RAÏM DE TAULA,"Translated(src=ca, dest=fr, text=Raisin de table, pronunciation=None, extra_data=""{'confiden..."")"
98678,LLEGUMINOSES,FAVERS BORDA SIE O MOREU SIE,"Translated(src=de, dest=fr, text=Favers borda vous o plus vous, pronunciation=None, extra_data=""{'confiden..."")"
107895,ALTRES PRODUCTES,CANYA COMUNA,"Translated(src=ca, dest=fr, text=Canne commune, pronunciation=None, extra_data=""{'confiden..."")"
108337,ALTRES PRODUCTES,CONREU DE FRUITS DEL BOSC,"Translated(src=ca, dest=fr, text=Récolte de fruits de la forêt, pronunciation=None, extra_data=""{'confiden..."")"
113368,HORTICOLES,CRÈIXENS,"Translated(src=ca, dest=fr, text=Brut, pronunciation=None, extra_data=""{'confiden..."")"
118632,ALTRES PRODUCTES,CASTANYERS,"Translated(src=ca, dest=fr, text=Châtaignes, pronunciation=None, extra_data=""{'confiden..."")"
121596,ARROS,ARRÒS,"Translated(src=ca, dest=fr, text=Riz, pronunciation=None, extra_data=""{'confiden..."")"
126388,FARRATGERES,AGROSTIS,"Translated(src=el, dest=fr, text=La tombe, pronunciation=None, extra_data=""{'confiden..."")"
128174,PROTEAGINOSES,TRAMUSSOS DOLÇOS SIE,"Translated(src=ca, dest=fr, text=Soi Sweet Trams, pronunciation=None, extra_data=""{'confiden..."")"
142407,ALTRES PRODUCTES,ORENGA,"Translated(src=ca, dest=fr, text=Orenga, pronunciation=None, extra_data=""{'confiden..."")"
143846,GUARET,GUARET SIE AMB ESPÈCIES MEL?L,"Translated(src=ca, dest=fr, text=Sie en jachère avec des espèces de miel? L, pronunciation=None, extra_data=""{'confiden..."")"
148698,FRUITA DOLCA,GERDS,"Translated(src=ca, dest=fr, text=FRAMBOISE, pronunciation=None, extra_data=""{'confiden..."")"
153129,OLEAGINOSES,SOIA NO SIE,"Translated(src=it, dest=fr, text=SOY NON SIE, pronunciation=None, extra_data=""{'confiden..."")"
153131,PROTEAGINOSES,TRAMUSSOS DOLÇOS NO SIE,"Translated(src=ca, dest=fr, text=Sweet Trams pas Sie, pronunciation=None, extra_data=""{'confiden..."")"
158292,FARRATGERES,SULLA SIE O ENCLOVA SIE,"Translated(src=it, dest=fr, text=Sur le sie ou enclova sie, pronunciation=None, extra_data=""{'confiden..."")"
165516,FRUITA DOLCA,NABIUS,"Translated(src=ca, dest=fr, text=Myrtille, pronunciation=None, extra_data=""{'confiden..."")"
168222,FARRATGERES,CLOSA ANY 1,"Translated(src=ca, dest=fr, text=Année de fermeture 1, pronunciation=None, extra_data=""{'confiden..."")"
194383,FARRATGERES,CUA DE RATA (PHLEUM),"Translated(src=hr, dest=fr, text=Cua de rat (phleum), pronunciation=None, extra_data=""{'confiden..."")"
212445,CEREALS,ESCAIOLA,"Translated(src=pt, dest=fr, text=Sabot, pronunciation=None, extra_data=""{'confiden..."")"
217017,ALTRES PRODUCTES,PERICÓ O HERBA DE SANT JOAN,"Translated(src=ca, dest=fr, text=Pericon ou Grass St. John's, pronunciation=None, extra_data=""{'confiden..."")"
222484,FARRATGERES,PÈSOL I ORDI NO SIE,"Translated(src=ca, dest=fr, text=Pois et orge non sie, pronunciation=None, extra_data=""{'confiden..."")"
232945,LLEGUMINOSES,GARLANDA NO SIE,"Translated(src=de, dest=fr, text=Garlanda non toi, pronunciation=None, extra_data=""{'confiden..."")"
242438,HORTICOLES,BORRATJA,"Translated(src=ca, dest=fr, text=Ivre, pronunciation=None, extra_data=""{'confiden..."")"
272021,LLEGUMINOSES,GUIXÓ NO SIE O PÈSOL QUADRAT,"Translated(src=ca, dest=fr, text=Plâtre pas de sie ou de pois square, pronunciation=None, extra_data=""{'confiden..."")"
277362,FRUITA DOLCA,NASHI,"Translated(src=ha, dest=fr, text=Nashi, pronunciation=None, extra_data=""{'confiden..."")"
310921,ALTRES PRODUCTES,CAMAMILLA,"Translated(src=ca, dest=fr, text=Camomille, pronunciation=None, extra_data=""{'confiden..."")"
350788,FRUITA DOLCA,GROSELLA,"Translated(src=es, dest=fr, text=GROSEILLE, pronunciation=None, extra_data=""{'confiden..."")"
423763,LLEGUMINOSES,GUIXES SIE O PEDREROL SIE,"Translated(src=es, dest=fr, text=Guixes Sie ou Pedrorol Sie, pronunciation=None, extra_data=""{'confiden..."")"
427460,CEREALS,TRITORDEUM,"Translated(src=la, dest=fr, text=Tritordeum, pronunciation=None, extra_data=""{'confiden..."")"
438142,CITRICS,POMELO O ARANJA,"Translated(src=hr, dest=fr, text=Se balancer sur l'Arje, pronunciation=None, extra_data=""{'confiden..."")"
438144,CITRICS,MANDARINER HÍBRID,"Translated(src=ca, dest=fr, text=Mandariner hybride, pronunciation=None, extra_data=""{'confiden..."")"
438567,LLEGUMINOSES,'ALGARROBA' HERBÀCIA SIE,"Translated(src=ca, dest=fr, text=`` Algarroba '' Herbacea Sie, pronunciation=None, extra_data=""{'confiden..."")"
440344,CITRICS,SATSUMA,"Translated(src=ja, dest=fr, text=Étiquette, pronunciation=None, extra_data=""{'confiden..."")"
545908,ALTRES PRODUCTES,TABAC,"Translated(src=fr, dest=fr, text=TABAC, pronunciation=None, extra_data=""{'confiden..."")"
601388,ALTRES PRODUCTES,HISOP,"Translated(src=af, dest=fr, text=Jésus, pronunciation=None, extra_data=""{'confiden..."")"
616544,ALTRES PRODUCTES,CACAUET SIE,"Translated(src=fr, dest=fr, text=CACAUET SIE, pronunciation=None, extra_data=""{'confiden..."")"
