GROUP_CAT,CROPS_CAT,GROUP_CAT_filtered,ID_GROUP_CAT,CROPS_CAT_filtered,ID_CROPS_CAT,match,max_match,ID_GROUP_ICC,sim
fruits de closca,ametllers,fruits de closca,fruits de closca,ametllers,ametllers,"[['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'Altres fruites de pinyol i fruites de pinyol', 3, 75.0], ['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'fruits secs de cola', 3, 86.66666666666667], ['CROPS_CAT', 'ametllers', 'ametllers', 'Ametlles', 3, 82]]","['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'fruits secs de cola', 3, 86.66666666666667]",3.0,86.66666666666667
fruita dolca,albercoquers,fruita dolca,fruita dolca,albercoquers,albercoquers,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]]","['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]",3.0,75.0
proteaginoses,pèsols no sie,proteaginoses,proteaginoses,pèsols no sie,pèsols no sie,"[['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Cultius oleaginosos i fruits oleaginosos', 4, 75.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 83.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 83.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Cultius permanents de llavors oleaginoses', 4, 83.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres fruites oleaginoses', 4, 83.0], ['CROPS_CAT', 'pèsols no sie', 'pèsols no sie', 'Pèsols', 7, 83]]","['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 83.0]",4.0,83.0
horticoles,horta,horticoles,horticoles,horta,horta,[],[],,
cereals,blat tou,cereals,cereals,blat tou,blat tou,"[['GROUP_CAT', 'cereals', 'cereals', 'Cereals', 1, 86], ['GROUP_CAT', 'cereals', 'cereals', 'Cereals barrejats', 1, 86.0], ['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0], ['CROPS_CAT', 'blat tou', 'blat tou', 'Blat', 1, 75]]","['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]",1.0,100.0
cereals,mill,cereals,cereals,mill,mill,"[['GROUP_CAT', 'cereals', 'cereals', 'Cereals', 1, 86], ['GROUP_CAT', 'cereals', 'cereals', 'Cereals barrejats', 1, 86.0], ['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0], ['CROPS_CAT', 'mill', 'mill', 'Mill', 1, 75]]","['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]",1.0,100.0
oleaginoses,camelina,oleaginoses,oleaginoses,camelina,camelina,"[['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Cultius oleaginosos i fruits oleaginosos', 4, 91.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 100.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 100.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Cultius permanents de llavors oleaginoses', 4, 100.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Altres fruites oleaginoses', 4, 100.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Cultius de lleguminoses', 7, 78.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Cultius de lleguminoses', 7, 78.0]]","['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 100.0]",4.0,100.0
farratgeres,alfals sie,farratgeres,farratgeres,alfals sie,alfals sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
farratgeres,trepadella sie,farratgeres,farratgeres,trepadella sie,trepadella sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
farratgeres,festuca,farratgeres,farratgeres,festuca,festuca,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
farratgeres,ray-grass,farratgeres,farratgeres,raygrass,ray-grass,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
fruita dolca,figuera,fruita dolca,fruita dolca,figuera,figuera,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]]","['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]",3.0,75.0
farratgeres,veça i civada sie,farratgeres,farratgeres,veça i civada sie,veça i civada sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0], ['CROPS_CAT', 'veça i civada sie', 'veça i civada sie', 'Civada', 1, 83]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
farratgeres,veça i civada no sie,farratgeres,farratgeres,veça i civada no sie,veça i civada no sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0], ['CROPS_CAT', 'veça i civada no sie', 'veça i civada no sie', 'Civada', 1, 83]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
cereals d'estiu,blat de moro,cereals destiu,cereals d'estiu,blat de moro,blat de moro,"[['GROUP_CAT', ""cereals d'estiu"", 'cereals destiu', 'Cereals', 1, 86], ['CROPS_CAT', 'blat de moro', 'blat de moro', 'Blat', 1, 75], ['CROPS_CAT', 'blat de moro', 'blat de moro', 'Blat de moro', 1, 91.66666666666667]]","['CROPS_CAT', 'blat de moro', 'blat de moro', 'Blat de moro', 1, 91.66666666666667]",1.0,91.66666666666667
proteaginoses,faves i favons no sie,proteaginoses,proteaginoses,faves i favons no sie,faves i favons no sie,"[['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Cultius oleaginosos i fruits oleaginosos', 4, 75.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 83.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 83.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Cultius permanents de llavors oleaginoses', 4, 83.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres fruites oleaginoses', 4, 83.0], ['CROPS_CAT', 'faves i favons no sie', 'faves i favons no sie', 'Faves', 7, 80]]","['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 83.0]",4.0,83.0
fruits de closca,avellaner,fruits de closca,fruits de closca,avellaner,avellaner,"[['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'Altres fruites de pinyol i fruites de pinyol', 3, 75.0], ['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'fruits secs de cola', 3, 86.66666666666667], ['CROPS_CAT', 'avellaner', 'avellaner', 'Avellanes', 3, 78]]","['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'fruits secs de cola', 3, 86.66666666666667]",3.0,86.66666666666667
horticoles,enciam,horticoles,horticoles,enciam,enciam,"[['CROPS_CAT', 'enciam', 'enciam', 'Enciam', 2, 83]]","['CROPS_CAT', 'enciam', 'enciam', 'Enciam', 2, 83]",2.0,83.0
horticoles,col i coliflor,horticoles,horticoles,col i coliflor,col i coliflor,[],[],,
horticoles,cogombre,horticoles,horticoles,cogombre,cogombre,"[['CROPS_CAT', 'cogombre', 'cogombre', 'Cogombres', 2, 82]]","['CROPS_CAT', 'cogombre', 'cogombre', 'Cogombres', 2, 82]",2.0,82.0
horticoles,bleda,horticoles,horticoles,bleda,bleda,[],[],,
farratgeres,veça i triticale sie,farratgeres,farratgeres,veça i triticale sie,veça i triticale sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0], ['CROPS_CAT', 'veça i triticale sie', 'veça i triticale sie', 'triticale', 1, 100]]","['CROPS_CAT', 'veça i triticale sie', 'veça i triticale sie', 'triticale', 1, 100]",1.0,100.0
farratgeres,alfals no sie,farratgeres,farratgeres,alfals no sie,alfals no sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
lleguminoses,mongeta no sie,lleguminoses,lleguminoses,mongeta no sie,mongeta no sie,"[['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius permanents de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres fruites oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]]","['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]",7.0,100.0
oleaginoses,colza,oleaginoses,oleaginoses,colza,colza,"[['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Cultius oleaginosos i fruits oleaginosos', 4, 91.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 100.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 100.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Cultius permanents de llavors oleaginoses', 4, 100.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Altres fruites oleaginoses', 4, 100.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Cultius de lleguminoses', 7, 78.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Cultius de lleguminoses', 7, 78.0], ['CROPS_CAT', 'colza', 'colza', 'fruits secs de cola', 3, 89.0], ['CROPS_CAT', 'colza', 'colza', 'Colza', 4, 80]]","['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 100.0]",4.0,100.0
proteaginoses,faves i favons sie,proteaginoses,proteaginoses,faves i favons sie,faves i favons sie,"[['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Cultius oleaginosos i fruits oleaginosos', 4, 75.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 83.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 83.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Cultius permanents de llavors oleaginoses', 4, 83.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres fruites oleaginoses', 4, 83.0], ['CROPS_CAT', 'faves i favons sie', 'faves i favons sie', 'Faves', 7, 80]]","['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 83.0]",4.0,83.0
lleguminoses,mongeta sie,lleguminoses,lleguminoses,mongeta sie,mongeta sie,"[['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius permanents de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres fruites oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]]","['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]",7.0,100.0
altres productes,especies aromàtiques herbàci,productes,altres productes,especies aromàtiques herbàci,especies aromàtiques herbàci,[],[],,
horticoles,carxofa,horticoles,horticoles,carxofa,carxofa,[],[],,
horticoles,pastanaga,horticoles,horticoles,pastanaga,pastanaga,"[['CROPS_CAT', 'pastanaga', 'pastanaga', 'pastanagues', 2, 80]]","['CROPS_CAT', 'pastanaga', 'pastanaga', 'pastanagues', 2, 80]",2.0,80.0
horticoles,maduixa,horticoles,horticoles,maduixa,maduixa,[],[],,
horticoles,esparrecs,horticoles,horticoles,esparrecs,esparrecs,"[['CROPS_CAT', 'esparrecs', 'esparrecs', 'Espàrrecs', 2, 78]]","['CROPS_CAT', 'esparrecs', 'esparrecs', 'Espàrrecs', 2, 78]",2.0,78.0
altres productes,cànem,productes,altres productes,cànem,cànem,"[['CROPS_CAT', 'cànem', 'cànem', 'Cànem', 9, 80]]","['CROPS_CAT', 'cànem', 'cànem', 'Cànem', 9, 80]",9.0,80.0
horticoles,pebrot,horticoles,horticoles,pebrot,pebrot,"[['CROPS_CAT', 'pebrot', 'pebrot', 'Xiles i pebrots', 6, 92.0]]","['CROPS_CAT', 'pebrot', 'pebrot', 'Xiles i pebrots', 6, 92.0]",6.0,92.0
citrics,clementina,citrics,citrics,clementina,clementina,"[['GROUP_CAT', 'citrics', 'citrics', 'Altres cítrics', 3, 86.0], ['CROPS_CAT', 'clementina', 'clementina', 'Tangerines mandarins clementines', 3, 86.0]]","['GROUP_CAT', 'citrics', 'citrics', 'Altres cítrics', 3, 86.0]",3.0,86.0
fruita dolca,fruiters varis,fruita dolca,fruita dolca,fruiters varis,fruiters varis,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]]","['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]",3.0,75.0
fruits de closca,nogueres,fruits de closca,fruits de closca,nogueres,nogueres,"[['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'Altres fruites de pinyol i fruites de pinyol', 3, 75.0], ['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'fruits secs de cola', 3, 86.66666666666667]]","['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'fruits secs de cola', 3, 86.66666666666667]",3.0,86.66666666666667
fruita dolca,altres fruiters,fruita dolca,fruita dolca,fruiters,altres fruiters,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0], ['CROPS_CAT', 'altres fruiters', 'fruiters', 'Altres hortalisses fruiteres', 2, 94.0], ['CROPS_CAT', 'altres fruiters', 'fruiters', 'Fruita i fruits secs', 3, 86.0], ['CROPS_CAT', 'altres fruiters', 'fruiters', 'Fruites tropicals i subtropicals', 3, 80.0], ['CROPS_CAT', 'altres fruiters', 'fruiters', 'Altres fruites tropicals i subtropicals', 3, 93.0], ['CROPS_CAT', 'altres fruiters', 'fruiters', 'Fruites de pinyol i fruites de pinyol', 3, 93.0], ['CROPS_CAT', 'altres fruiters', 'fruiters', 'Altres fruites de pinyol i fruites de pinyol', 3, 93.0], ['CROPS_CAT', 'altres fruiters', 'fruiters', ""fruits secs d'areca"", 3, 86.0], ['CROPS_CAT', 'altres fruiters', 'fruiters', 'fruits secs de cola', 3, 86.0], ['CROPS_CAT', 'altres fruiters', 'fruiters', 'Altres fruits secs', 3, 86.0], ['CROPS_CAT', 'altres fruiters', 'fruiters', 'Altres fruites', 3, 93.0], ['CROPS_CAT', 'altres fruiters', 'fruiters', 'Cultius oleaginosos i fruits oleaginosos', 4, 86.0], ['CROPS_CAT', 'altres fruiters', 'fruiters', 'Altres fruites oleaginoses', 4, 93.0]]","['CROPS_CAT', 'altres fruiters', 'fruiters', 'Altres hortalisses fruiteres', 2, 94.0]",2.0,94.0
cereals,espelta,cereals,cereals,espelta,espelta,"[['GROUP_CAT', 'cereals', 'cereals', 'Cereals', 1, 86], ['GROUP_CAT', 'cereals', 'cereals', 'Cereals barrejats', 1, 86.0], ['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]]","['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]",1.0,100.0
cereals,sègol,cereals,cereals,sègol,sègol,"[['GROUP_CAT', 'cereals', 'cereals', 'Cereals', 1, 86], ['GROUP_CAT', 'cereals', 'cereals', 'Cereals barrejats', 1, 86.0], ['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0], ['CROPS_CAT', 'sègol', 'sègol', 'Sègol', 1, 80]]","['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]",1.0,100.0
lleguminoses,llenties sie,lleguminoses,lleguminoses,llenties sie,llenties sie,"[['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius permanents de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres fruites oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['CROPS_CAT', 'llenties sie', 'llenties sie', 'Llenties', 7, 88]]","['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]",7.0,100.0
