Plantes aromatiques,953,-,2,Autres,Surface agricole - Terres arables
Plantes vivaces ornementales de plein air,9584,,2,,Surface agricole - Cultures permanentes
Poireau (consommation au frais),9538,-,2,All,Surface agricole - Terres arables
Poireau (transformation industrielle),8538,-,2,All,Surface agricole - Terres arables
"Pois récoltés à l’état frais, pois de conserverie",931,-,2,Pi-p,Surface agricole - Terres arables - Légumineuse
Pois (autres que récoltés secs) (transformation industrielle),831,-,2,Pi-p,Surface agricole - Terres arables - Légumineuse
Rhubarbe ( consommation au frais),9517,-,2,,Surface agricole – Cultures permanentes
Rhubarbe ( transformation industrielle),8517,-,2,,Surface agricole – Cultures permanentes
Scaroles (transformation industrielle),8537,-,2,Ci,Surface agricole - Terres arables
Scaroles (consommation au frais),9537,-,2,Ci,Surface agricole - Terres arables
Scorsonère (transformation industrielle),8533,-,2,Sco,Surface agricole - Terres arables
Tomates (consommation au frais),9552,-,2,Sollyc,Surface agricole - Terres arables
Tomates ( transformation industrielle),8552,-,2,Sollyc,Surface agricole - Terres arables
Cultures maraîchères sous serres ou sous protection fixe,952,-,2,Autres,Surface agricole - Terres arables
Vignes,9716,-,2,,Surface agricole - Cultures permanentes
FRUITS A COQUES,,,,,
Noisetier,9201,-,2,,Surface agricole - Cultures permanentes
Noyer,9202,-,2,,Surface agricole - Cultures permanentes
OLEAGINEUX,,,,,
Colza d’hiver,4111,-,3,,Surface agricole - Terres arables
Navette d’hiver (graines),4112,-,3,,Surface agricole - Terres arables
Colza de printemps,4121,-,3,,Surface agricole - Terres arables
Navette de printemps (graines),4122,-,3,,Surface agricole - Terres arables
Lin oléagineux,45,-,3,Li,Surface agricole - Terres arables
Soja,43,V,3,,Surface agricole - Terres arables - Légumineuse
Tournesol,42,-,3,,Surface agricole - Terres arables
Autres oléagineux*,46,-,3,Autres,Surface agricole - Terres arables
PLANTES A FIBRES,,,,,
Chanvre textile (culture soumise à autorisation préalable au semis),922,-,3,Ca,Surface agricole - Terres arables
Chanvre non textile (culture soumise à autorisation préalable au semis),872,-,3,Ca,Surface agricole - Terres arables
Lin textile,921,-,3,Li,Surface agricole - Terres arables
POMMES DE TERRE,,,,,
Pomme de terre (plants),902,-,2,Soltub,Surface agricole - Terres arables
Pomme de terre (non hâtives),901,-,3,Soltub,Surface agricole - Terres arables
Pomme de terre féculière,903,-,3,Soltub,Surface agricole - Terres arables
Pomme de terre hâtives,904,-,3,Soltub,Surface agricole - Terres arables
"Pomme de terre (primeur, arrachage avant le 20 juin)",905,-,3,Soltub,Surface agricole - Terres arables
PRODUCTIONS FOURRAGERES,,,,,
Betterave fourragère,71,-,3,Be,Surface agricole - Terres arables
Luzerne,73,V,1,,Surface agricole - Terres arables - Légumineuse
"Prairie permanente (taux de couverture > 90%), hors rotation depuis 5 ans****",610,-,1,,Surface agricole - Prairies permanentes
"Prairie permanente (taux de couverture > 90%),avec contrat d’aide complémentaire
environnemental, hors rotation depuis 5 ans****",618,-,1,,Surface agricole - Prairies permanentes
"Prairie permanente (50%<taux de couverture <= 90%), hors rotation depuis 5 ans****",670,-,1,,Surface agricole - Prairies permanentes
"Prairie permanente (50%<taux de couverture <= 90%), avec contrat d’aide
complémentaire environnemental, hors rotation depuis 5 ans****",678,-,1,,Surface agricole - Prairies permanentes
"Autres surfaces pâturées (taux de couverture <= 50%), hors rotation depuis 5 ans****",600,-,-,,Surface non agricole
"Autres surfaces pâturées (taux de couverture <= 50%), avec contrat d’aide
complémentaire environnemental, hors rotation depuis 5 ans****",608,-,-,,Surface non agricole
Prairie temporaire,62,-,1,F,"Surface agricole - Terres arables - Herbe ou plante fourragère
herbacée"
Prairie à vocation à devenir permanente pour les parcelles en MAEC et N2000,623,,1,F,"Surface agricole - Terres arables - Herbe ou plante fourragère
herbacée"
Trèfles,72,V,1,,Surface agricole - Terres arables - Légumineuse
Carotte,7433,-,2,Da,Surface agricole - Terres arables
Carottes fourragères,742,-,1,Da,Surface agricole - Terres arables
Autres fourrages*,743,-,1,Autres,Surface agricole - Terres arables
Fèves et Féveroles d’hiver,521,V,3,,Surface agricole - Terres arables - Légumineuse
Fèves et Féveroles de printemps,522,V,3,,Surface agricole - Terres arables - Légumineuse
Lotier corniculé (Lotus corniculatis),57,V,1,Lo,Surface agricole - Terres arables - Légumineuse
Lupin doux,53,V,3,,Surface agricole - Terres arables - Légumineuse
Luzerne lupuline,56,V,1,Me,Surface agricole - Terres arables - Légumineuse
Mélange protéagineux d'hiver + céréales ou autres espèces,541,V,3,MEL,Surface agricole - Terres arables - Légumineuse
Mélange protéagineux de printemps + céréales ou autres espèces,542,V,3,MEL,Surface agricole - Terres arables - Légumineuse
Mélange légumineuses fourragères + graminées prairiales,543,V,1,F,Surface agricole - Terres arables - Herbe ou plante fourragère
Pois protéagineux d’hiver,511,V,3,Pi-h,Surface agricole - Terres arables – Légumineuse
Pois protéagineux de printemps,512,V,3,Pi-p,Surface agricole - Terres arables - Légumineuse
Sainfoin ( Onobrychis sativa),58,V,1,Ono,Surface agricole - Terres arables - Légumineuse
Autres protéagineux*,55,-,3,Autres,Surface agricole - Terres arables - Légumineuse
AUTRES UTILISATIONS DU SOL,,,,,
Angél i que,881,-,2,,Surface agricole - Terres arables
Betterave sucrière,91,-,3,Be,Surface agricole - Terres arables
Chicorée à inuline,9811,-,3,Ci,Surface agricole - Terres arables
Chicorée à café,9812,-,3,Ci,Surface agricole - Terres arables
Jachère herbacée,811,V,-,J,Surface agricole - Terres arables – Jachère
Jachère NON herbacée,812,V,-,J,Surface agricole - Terres arables – Jachère
Jachère mellifère,813,V,-,J,Surface agricole - Terres arables – Jachère
Cultures forestières à rotation courte (taillis à très courte rotation),883,V,-,,Surface agricole - Cultures permanentes
Multiplication de semences en mode de production biologique*,821,-,2,Autres,Surface agricole - Terres arables
Houblon,9822,-,2,,Surface agricole - Cultures permanentes
Miscanthus,884,V,-,,Surface agricole - Cultures permanentes
Ortie,7431,-,2,,Surface agricole - Terres arables
Plantes aromatiques,953,-,2,Autres,Surface agricole - Terres arables
Plantes médicinales,957,-,2,Autres,Surface agricole - Terres arables
Tabac,9821,-,-,,Surface agricole - Terres arables
Couvert à finalité environnementale rémunéré par des tiers privés,874,-,-,Autres,Surface agricole - Terres arables
Tounière enherbée,751,-,-,F,Surface agricole - Terres arables - Herbe ou plante
"Bande/parcelle aménagée MAE – MC7, MC8",754,_,-,J,Surface agricole - Terres arables – Jachère
Bande bordure de champ,752,V,-,F,Surface agricole - Terres arables - Herbe ou plante
Parcours BIO (volaille ou porc),760,-,1,F,Surface agricole - Terres arables - Herbe ou plante
Autres couverts semés *,85,-,-,Autres,Surface agricole - Terres arables
CULTURE NE PERMETTANT PAS L'UTILISATION DE DROITS AU PAIEMENT DE BASE,,,,,
Sapins de Noël,962,-,-,,Surface non agricole
